name,address,zip,city,canton,type,website,phone,mo_1,mo_2,mo_3,mo_4,tu_1,tu_2,tu_3,tu_4,we_1,we_2,we_3,we_4,th_1,th_2,th_3,th_4,fr_1,fr_2,fr_3,fr_4,sa_1,sa_2,sa_3,sa_4,so_1,so_2,so_3,so_4,appointment,testType,remarks,source
Zentrum für Reisemedizin Universität Zürich,Hirschengraben 84,8001,Zürich,ZH,hospital,https://coronatest.uzh.ch/de/,044 634 60 00,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,,,,,,,,,online,,,
Spital Thun,Krankenhausstrasse 12,3600,Thun,BE,drive-in,https://www.spitalthun.ch/corona,058 636 28 00,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,online,,,
Spital Uster,Brunnenstrasse 42,8610,Uster,ZH,hospital,https://www.spitaluster.ch/de/Patienten/Coronavirus-Covid-19/Covid-19-Test.830.html,044 911 20 55,08:30,12:00,13:00,18:00,08:30,12:00,13:00,18:00,08:30,12:00,13:00,18:00,08:30,12:00,13:00,18:00,08:30,12:00,13:00,18:00,08:30,12:00,13:00,18:00,08:30,12:00,13:00,18:00,online,,,
Spital Limmattal,Spitalstrasse 32,8952,Schlieren,ZH,hospital,https://www.spital-limmattal.ch/patienten/ueber-uns/medien/coronavirus/,+41 58 463 00 00,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,,08:00,18:00,,,online,,keine Schnelltests,
Stadtspital Triemli,Birmensdorferstrasse 497 ,8063,Zürich,ZH,hospital,https://www.stadt-zuerich.ch/content/triemli/de/index/service/medien/auszeichnungen-news/corona-testcenter.html,044 416 12 12,09:00,18:30,,,09:00,18:30,,,09:00,18:30,,,09:00,18:30,,,09:00,18:30,,,11:00,16:30,,,11:00,16:30,,,online,,,
Kantonsspital Winterthur,Brauerstrasse 15,8400,Winterthur,ZH,hospital,https://www.ksw.ch/coronavirus-covid-19/,,08:00,12:00,13:00,18:00,08:00,12:00,13:00,18:00,08:00,12:00,13:00,18:00,08:00,12:00,13:00,18:00,08:00,12:00,13:00,18:00,08:00,12:00,13:00,18:00,08:00,12:00,13:00,18:00,,,,
Permanence Winterthur,Bahnhofplatz 5,8400,Winterthur,ZH,clinic,https://www.permanence-winterthur.ch/,052 267 01 01,07:00,22:00,,,07:00,22:00,,,07:00,22:00,,,07:00,22:00,,,07:00,22:00,,,07:00,22:00,,,07:00,22:00,,,online,,,
Kantonsspital Aarau,Tellstrasse 25,5001,Aarau,AG,hospital,https://www.ksa.ch/ihr-aufenthalt/covid-19-test#paragraph-15992,+41 62 838 41 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online,,,
Kantonsspital Baden,Im Ergel 1,5404,Baden,AG,hospital,https://www.kantonsspitalbaden.ch/Fachbereiche/Infektiologie-Spitalhygiene/Infos-Coronavirus.html,056 486 21 11,08:30,12:00,13:00,20:00,08:30,12:00,13:00,20:00,08:30,12:00,13:00,20:00,08:30,12:00,13:00,20:00,08:30,12:00,13:00,20:00,10:00,12:30,13:30,16:00,10:00,12:30,13:30,16:00,online,,Zutrittsregistration online ausfüllen,
Abklärungs- und Teststation BL,Emil Frey-Strasse 100,4142,Münchenstein,BL,testcenter,https://www.coronatest-bl.ch/index.html,,08:00,12:00,13:00,17:00,08:00,12:00,13:00,17:00,08:00,12:00,13:00,17:00,08:00,12:00,13:00,17:00,08:00,12:00,13:00,17:00,09:00,13:00,,,09:00,13:00,,,,,,
Drive-In Testzentrum,Allmend,6005,Luzern,LU,drive-in,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus/Corona_Drive_in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anmeldeformular ausfüllen,
Kantonsspital Luzern,Spitalstrasse,6000,Luzern,LU,hospital,https://www.luks.ch/anmeldung-zum-corona-test,041 205 82 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantonsspital Sursee,Spitalstrasse 16a,6210,Sursee,LU,hospital,https://www.luks.ch/anmeldung-zum-corona-test,041 205 82 00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantonsspital Wolhusen,Spitalstrasse 50,6110,Wolhusen,LU,hospital,https://www.luks.ch/anmeldung-zum-corona-test,041 205 82 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantonsspital Nidwalden,Ennetmooserstrasse 19,6370,Stans,NI,hospital,https://www.ksnw.ch/covid-19.html, 041 618 17 92,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:30,16:30,,,08:30,16:30,,,online,,,
Corona testcenter,Militärstrasse 8,6060,Sarnen,OW,testcenter,https://ksow.ch/de/Corona-Hotline.php,0800 005 800,13:00,17:00,,,13:00,17:00,,,13:00,17:00,,,13:00,17:00,,,13:00,17:00,,,13:00,17:00,,,,,,,app,,Anmeldung via App (siehe Website),
Polipraxis St. Gallen,Kornhausstrasse 3,9000,St. Gallen,SG,clinic,https://www.polipraxis.ch/notfallpraxis-stgallen,071 228 40 40,07:00,19:00,,,07:00,19:00,,,07:00,19:00,,,07:00,19:00,,,07:00,19:00,,,07:00,19:00,,,10:00,15:00,,,online,,,
Klinik Sephanshorn St.Gallen,Brauerstrasse 95,9016,St. Gallen,SG,clinic,https://www.hirslanden.ch/de/klinik-stephanshorn/centers/notfallaufnahme-klinikstephanshorn/corona-test.html,,07:30,10:30,,,07:30,10:30,,,07:30,10:30,,,07:30,10:30,,,07:30,10:30,,,07:30,10:30,,,07:30,10:30,,,online,,,
Kantonsspital Uri,Spitalstrasse 1A,6460,Altdorf,UR,hospital,https://www.ksuri.ch/de/lebenslagen/coronavirus-information/,041 875 50 50,11:00,18:00,,,11:00,18:00,,,11:00,18:00,,,11:00,18:00,,,11:00,18:00,,,11:00,18:00,,,11:00,18:00,,,phone,,,
Unisanté Flon,Voie-du-Chariot 4,1003,Lausanne,VD,clinic,https://rendezvous.unisante.ch/prendre-rendez-vous/2425,+41 21 314 90 90,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,09:00,17:00,,,08:00,17:00,,,09:00,17:00,,,online,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/coronavirus-covid-19-reponses-du-medecin-cantonal-aux-questions-frequentes/centres-de-tests-covid-19-filiere-cantonale-vaud
Unisanté Bugnon,Rue du Bugnon 44,1011,Lausanne,VD,clinic,https://rendezvous.unisante.ch/prendre-rendez-vous/2425,+41 21 314 60 60,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,09:00,17:00,,,08:00,17:00,,,08:00,17:00,,,online,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/coronavirus-covid-19-reponses-du-medecin-cantonal-aux-questions-frequentes/centres-de-tests-covid-19-filiere-cantonale-vaud
Centre Médical Vidy,Route de Chavannes 11,1004,Lausanne,VD,clinic,https://www.onedoc.ch/fr/centre-medical/lausanne/e11o/centre-medical-vidy,0041 21 622 88 88,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,online,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/coronavirus-covid-19-reponses-du-medecin-cantonal-aux-questions-frequentes/centres-de-tests-covid-19-filiere-cantonale-vaud
Centre Médical de la Source ,Av. Alexandre Vinet 32,1004,Lausanne,VD,clinic,https://www.onedoc.ch/fr/centre-de-depistage-covid/lausanne/pb53n/depistage-covid-19,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,online,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/coronavirus-covid-19-reponses-du-medecin-cantonal-aux-questions-frequentes/centres-de-tests-covid-19-filiere-cantonale-vaud
Centre Médical d’Epalinges,Route de la Corniche 1,1066,Epalinges,VD,clinic,https://www.vidymed.ch/,41215258000,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,09:00,18:00,,,online,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/coronavirus-covid-19-reponses-du-medecin-cantonal-aux-questions-frequentes/centres-de-tests-covid-19-filiere-cantonale-vaud
CHUV/ site de l'Hôpital de l’enfance Lausanne ,Ch. des Avelines 12,1004,Lausanne,VD,hospital,https://rendezvous.chuv.ch/,,11:00,20:00,,,11:00,20:00,,,11:00,20:00,,,11:00,20:00,,,11:00,20:00,,,11:00,20:00,,,,,,,online,,enfants tous âges et leur accompagnant,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/coronavirus-covid-19-reponses-du-medecin-cantonal-aux-questions-frequentes/centres-de-tests-covid-19-filiere-cantonale-vaud
Clinique CECIL,Av. Ruchonnet 53,1003,Lausanne,VD,clinic,https://www.hirslanden.ch/fr/clinique-cecil/centres-et-instituts/centre-de-depistage.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/coronavirus-covid-19-reponses-du-medecin-cantonal-aux-questions-frequentes/centres-de-tests-covid-19-filiere-cantonale-vaud
ICC – Institut de chimie clinique,Rue du Midi 15,1002,Lausanne,VD,drive-in,https://www.laboicc.ch/,021 311 31 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/coronavirus-covid-19-reponses-du-medecin-cantonal-aux-questions-frequentes/centres-de-tests-covid-19-filiere-cantonale-vaud
